LOC_ID                          CLUSTER             P_VALUE             CLU_OBS             CLU_EXP             CLU_ODE             CLU_RR              CLU_POP             LOC_OBS             LOC_EXP             LOC_ODE             LOC_RR              LOC_POP             LOC_LAT             LOC_LONG            GINI_CLUST
432220                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             2                   1.55                1.29                1.29                1.55                -29.081000          -53.836000          F 
431115                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.60                1.68                1.68                0.60                -28.647000          -54.122000          F 
431647                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.21                0                   0                   0.21                -28.126000          -54.835000          F 
430520                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             5                   0.99                5.03                5.04                0.99                -28.149000          -54.738000          F 
430783                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.18                0                   0                   0.18                -28.525000          -54.149000          F 
431930                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             2                   0.43                4.67                4.67                0.43                -28.021000          -54.936000          F 
431120                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             3                   1.28                2.35                2.35                1.28                -29.227000          -53.682000          F 
432065                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.17                0                   0                   0.17                -29.642000          -53.586000          F 
431150                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.50                1.99                1.99                0.50                -30.813000          -53.895000          F 
431075                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             0                   0.14                0                   0                   0.14                -29.520000          -53.581000          F 
430693                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.60                1.68                1.68                0.60                -28.360000          -54.268000          F 
431510                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             3                   0.73                4.09                4.09                0.73                -27.906000          -55.138000          F 
430950                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             1                   0.53                1.87                1.87                0.53                -28.141000          -54.558000          F 
431960                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             3                   1.66                1.81                1.81                1.66                -30.161000          -53.565000          F 
430370                          1                   1e-17               2458                1331.11             1.85                2.03                1331.11             2                   0.41                4.86                4.86                0.41                -27.989000          -54.839000          F 
