LOC_ID                          OBSERVED            EXPECTED            ODE                 REL_RISK            
270420                          2                   1.83                1.09                1.09                
270430                          36                  62.85               0.57                0.57                
270440                          2                   1.22                1.64                1.64                
270450                          1                   1.96                0.51                0.51                
270460                          1                   0.57                1.74                1.74                
270470                          0                   3.21                0                   0                   
270480                          0                   0.82                0                   0                   
270490                          0                   0.23                0                   0                   
270500                          0                   1.49                0                   0                   
270510                          1                   1.44                0.69                0.69                
270520                          0                   1.03                0                   0                   
270530                          0                   0.34                0                   0                   
270540                          0                   0.42                0                   0                   
270550                          1                   1.67                0.60                0.60                
270560                          0                   0.75                0                   0                   
270570                          0                   1.30                0                   0                   
270580                          0                   0.56                0                   0                   
270590                          1                   0.30                3.30                3.30                
270600                          3                   0.73                4.08                4.08                
270610                          0                   0.70                0                   0                   
270620                          0                   0.29                0                   0                   
270630                          4                   4.53                0.88                0.88                
270640                          1                   1.48                0.67                0.67                
270642                          0                   0.63                0                   0                   
270644                          0                   0.81                0                   0                   
270650                          1                   0.90                1.11                1.11                
270660                          0                   0.48                0                   0                   
270670                          1                   3.91                0.26                0.26                
270680                          0                   1.10                0                   0                   
270690                          1                   2.09                0.48                0.48                
270700                          0                   0.19                0                   0                   
270710                          3                   1.45                2.07                2.07                
270720                          2                   0.85                2.34                2.34                
270730                          0                   1.62                0                   0                   
270740                          0                   0.48                0                   0                   
270750                          1                   1.25                0.80                0.80                
270760                          2                   0.70                2.85                2.85                
270770                          2                   4.61                0.43                0.43                
270780                          0                   0.37                0                   0                   
270790                          0                   0.45                0                   0                   
270800                          3                   2.83                1.06                1.06                
270810                          0                   0.65                0                   0                   
270820                          0                   0.43                0                   0                   
270830                          0                   1.42                0                   0                   
270840                          2                   1.85                1.08                1.08                
270850                          0                   2.01                0                   0                   
270860                          2                   3.67                0.54                0.54                
270870                          0                   0.48                0                   0                   
270880                          2                   2.05                0.97                0.97                
270890                          0                   0.87                0                   0                   
270895                          0                   0.80                0                   0                   
270900                          0                   0.39                0                   0                   
270910                          2                   1.24                1.61                1.61                
270915                          1                   2.55                0.39                0.39                
270920                          0                   1.67                0                   0                   
270930                          2                   3.93                0.51                0.51                
270940                          1                   1.57                0.64                0.64                
280010                          0                   0.15                0                   0                   
280020                          0                   1.36                0                   0                   
280030                          21                  41.16               0.51                0.51                
280040                          1                   0.64                1.57                1.57                
280050                          1                   1.18                0.85                0.85                
280060                          0                   1.90                0                   0                   
280067                          2                   1.70                1.18                1.18                
280070                          0                   0.49                0                   0                   
280100                          2                   1.14                1.75                1.75                
280110                          0                   0.26                0                   0                   
280120                          4                   1.75                2.29                2.29                
280130                          6                   2.11                2.84                2.84                
280140                          1                   1.40                0.71                0.71                
280150                          2                   1.00                2.01                2.01                
280160                          0                   0.37                0                   0                   
280170                          1                   1.07                0.93                0.93                
280190                          0                   0.26                0                   0                   
280200                          0                   0.31                0                   0                   
280210                          3                   4.30                0.70                0.70                
280220                          0                   0.35                0                   0                   
280230                          2                   0.97                2.06                2.06                
280240                          0                   0.75                0                   0                   
280250                          0                   0.21                0                   0                   
280260                          0                   0.38                0                   0                   
280270                          0                   0.51                0                   0                   
280280                          1                   1.06                0.95                0.95                
280290                          5                   5.98                0.84                0.84                
280300                          3                   2.55                1.18                1.18                
280310                          1                   0.33                3.04                3.04                
280320                          3                   2.12                1.41                1.41                
280330                          1                   1.20                0.83                0.83                
280340                          0                   0.82                0                   0                   
280350                          5                   6.64                0.75                0.75                
280360                          1                   1.80                0.56                0.56                
280370                          2                   0.44                4.52                4.52                
280380                          0                   0.23                0                   0                   
280390                          0                   0.82                0                   0                   
280400                          0                   1.03                0                   0                   
280410                          1                   0.75                1.33                1.33                
280420                          1                   0.92                1.09                1.09                
280430                          1                   0.49                2.03                2.03                
280440                          0                   1.19                0                   0                   
280445                          0                   0.58                0                   0                   
280450                          5                   2.32                2.16                2.16                
280460                          1                   1.68                0.60                0.60                
280470                          3                   0.42                7.21                7.21                
280480                          7                   11.22               0.62                0.62                
280490                          0                   0.89                0                   0                   
280500                          1                   0.21                4.78                4.78                
280510                          0                   0.60                0                   0                   
280520                          1                   0.42                2.40                2.40                
280530                          1                   0.56                1.78                1.78                
280540                          1                   2.10                0.48                0.48                
280550                          2                   1.54                1.29                1.29                
280560                          0                   1.79                0                   0                   
280570                          2                   1.85                1.08                1.08                
280580                          2                   1.26                1.59                1.59                
280590                          0                   0.61                0                   0                   
280600                          0                   1.22                0                   0                   
280610                          0                   0.64                0                   0                   
280620                          0                   1.28                0                   0                   
280630                          2                   0.84                2.39                2.39                
280640                          0                   0.47                0                   0                   
280650                          1                   0.25                4.08                4.08                
280660                          1                   0.74                1.36                1.36                
280670                          4                   5.53                0.72                0.72                
280680                          2                   0.70                2.86                2.86                
280690                          0                   0.24                0                   0                   
280700                          0                   0.26                0                   0                   
280710                          1                   2.62                0.38                0.38                
280720                          1                   0.53                1.88                1.88                
280730                          0                   0.20                0                   0                   
280740                          4                   3.32                1.21                1.21                
280750                          1                   0.87                1.14                1.14                
280760                          2                   1.54                1.30                1.30                
290010                          0                   0.60                0                   0                   
290020                          1                   1.24                0.81                0.81                
290030                          0                   0.92                0                   0                   
290035                          1                   1.13                0.89                0.89                
290040                          0                   1.12                0                   0                   
290050                          2                   0.73                2.74                2.74                
290060                          1                   0.30                3.34                3.34                
290070                          5                   9.64                0.52                0.52                
290080                          0                   1.41                0                   0                   
290090                          0                   0.36                0                   0                   
290100                          2                   2.40                0.84                0.83                
290110                          0                   1.58                0                   0                   
290115                          0                   1.00                0                   0                   
290120                          4                   1.48                2.70                2.70                
290130                          1                   0.83                1.20                1.20                
290135                          0                   0.97                0                   0                   
290140                          1                   0.95                1.05                1.05                
290150                          0                   0.74                0                   0                   
290160                          0                   1.34                0                   0                   
290170                          0                   0.73                0                   0                   
290180                          0                   0.76                0                   0                   
290190                          2                   1.15                1.75                1.75                
290195                          0                   0.46                0                   0                   
290200                          3                   0.90                3.35                3.35                
290205                          1                   0.75                1.34                1.34                
290210                          0                   3.37                0                   0                   
290220                          1                   0.76                1.32                1.32                
290225                          0                   0.68                0                   0                   
290230                          0                   0.57                0                   0                   
290240                          0                   0.73                0                   0                   
290250                          0                   0.89                0                   0                   
290260                          0                   1.28                0                   0                   
290265                          3                   0.85                3.55                3.55                
290270                          2                   3.26                0.61                0.61                
290280                          3                   1.30                2.32                2.32                
290290                          5                   1.98                2.53                2.53                
290300                          2                   0.92                2.18                2.18                
290310                          0                   0.38                0                   0                   
290320                          4                   9.64                0.41                0.41                
290323                          0                   0.96                0                   0                   
290327                          3                   1.02                2.93                2.93                
290330                          1                   0.37                2.68                2.68                
290340                          1                   1.49                0.67                0.67                
290350                          1                   1.14                0.88                0.88                
290360                          2                   1.03                1.95                1.95                
290370                          2                   0.85                2.35                2.35                
290380                          3                   1.17                2.56                2.56                
290390                          3                   4.28                0.70                0.70                
290395                          0                   0.65                0                   0                   
290400                          1                   0.91                1.10                1.10                
290405                          1                   1.02                0.98                0.98                
290410                          1                   1.41                0.71                0.71                
290420                          1                   0.68                1.47                1.47                
290430                          0                   0.93                0                   0                   
290440                          1                   0.72                1.38                1.38                
290450                          2                   0.69                2.92                2.92                
290460                          6                   4.45                1.35                1.35                
290470                          1                   1.21                0.82                0.82                
290475                          5                   1.36                3.68                3.68                
290480                          0                   0.46                0                   0                   
290485                          2                   1.15                1.74                1.74                
290490                          1                   2.13                0.47                0.47                
290500                          1                   1.58                0.63                0.63                
290510                          0                   0.55                0                   0                   
290515                          0                   0.98                0                   0                   
290520                          5                   3.33                1.50                1.50                
290530                          1                   1.15                0.87                0.87                
290540                          1                   1.12                0.90                0.90                
290550                          0                   0.82                0                   0                   
290560                          0                   1.99                0                   0                   
290570                          5                   18.77               0.27                0.27                
290580                          1                   2.08                0.48                0.48                
290590                          2                   1.83                1.09                1.09                
290600                          7                   4.51                1.55                1.55                
290610                          1                   0.62                1.62                1.62                
290620                          6                   1.66                3.62                3.62                
290630                          1                   1.99                0.50                0.50                
290640                          0                   0.56                0                   0                   
290650                          3                   5.46                0.55                0.55                
290660                          4                   0.99                4.04                4.04                
290670                          1                   1.62                0.62                0.62                
290680                          3                   2.20                1.36                1.36                
290682                          1                   1.05                0.95                0.95                
290685                          0                   0.79                0                   0                   
290687                          1                   1.91                0.52                0.52                
290689                          1                   0.62                1.60                1.60                
290690                          0                   1.41                0                   0                   
290700                          0                   0.57                0                   0                   
290710                          2                   1.81                1.11                1.11                
290720                          2                   4.49                0.45                0.45                
290730                          0                   1.67                0                   0                   
290740                          0                   0.25                0                   0                   
290750                          4                   3.55                1.13                1.13                
290755                          1                   0.64                1.56                1.56                
290760                          2                   1.13                1.77                1.77                
290770                          0                   0.72                0                   0                   
290780                          1                   2.16                0.46                0.46                
290790                          1                   1.08                0.93                0.93                
290800                          3                   1.11                2.71                2.71                
290810                          0                   1.22                0                   0                   
290820                          1                   1.41                0.71                0.71                
290830                          0                   1.14                0                   0                   
290840                          5                   4.25                1.18                1.18                
290850                          5                   2.08                2.41                2.41                
290860                          0                   1.57                0                   0                   
290870                          0                   1.13                0                   0                   
290880                          0                   0.27                0                   0                   
290890                          3                   1.43                2.10                2.10                
290900                          1                   0.59                1.69                1.69                
290910                          1                   0.95                1.05                1.05                
290920                          2                   1.03                1.94                1.94                
290930                          1                   2.10                0.48                0.48                
290940                          1                   0.93                1.08                1.08                
290950                          0                   0.35                0                   0                   
290960                          2                   1.37                1.46                1.46                
290970                          1                   0.93                1.08                1.08                
290980                          3                   4.02                0.75                0.75                
290990                          1                   2.19                0.46                0.46                
291000                          1                   0.70                1.43                1.43                
291005                          2                   5.01                0.40                0.40                
291010                          0                   0.83                0                   0                   
291020                          0                   0.26                0                   0                   
291030                          0                   0.55                0                   0                   
291040                          1                   1.09                0.92                0.92                
291050                          0                   2.57                0                   0                   
291060                          0                   2.25                0                   0                   
291070                          2                   3.88                0.52                0.52                
291072                          5                   7.13                0.70                0.70                
291075                          0                   1.20                0                   0                   
291077                          0                   0.39                0                   0                   
291080                          12                  38.56               0.31                0.31                
291085                          0                   1.07                0                   0                   
291090                          1                   0.36                2.78                2.78                
291100                          0                   0.71                0                   0                   
291110                          2                   1.60                1.25                1.25                
291120                          0                   2.04                0                   0                   
291125                          1                   0.31                3.18                3.18                
291130                          1                   0.76                1.32                1.32                
291140                          1                   0.99                1.01                1.01                
291150                          0                   0.46                0                   0                   
291160                          1                   1.29                0.77                0.77                
291165                          2                   0.47                4.29                4.29                
291170                          11                  5.54                1.99                1.99                
291180                          0                   1.38                0                   0                   
291185                          1                   0.87                1.15                1.15                
291190                          0                   1.50                0                   0                   
291200                          0                   0.64                0                   0                   
291210                          1                   1.42                0.71                0.71                
291220                          0                   1.14                0                   0                   
291230                          0                   1.07                0                   0                   
291240                          0                   1.21                0                   0                   
291250                          0                   0.99                0                   0                   
291260                          2                   0.27                7.49                7.49                
291270                          0                   1.44                0                   0                   
291280                          0                   0.57                0                   0                   
291290                          1                   0.98                1.02                1.02                
291300                          2                   1.09                1.84                1.84                
291310                          0                   1.12                0                   0                   
291320                          2                   1.69                1.18                1.18                
291330                          2                   0.41                4.93                4.93                
291340                          1                   1.05                0.95                0.95                
291345                          2                   0.84                2.39                2.39                
291350                          0                   1.78                0                   0                   
291360                          10                  10.28               0.97                0.97                
291370                          1                   2.45                0.41                0.41                
291380                          1                   0.96                1.04                1.04                
291390                          3                   2.97                1.01                1.01                
291400                          2                   3.81                0.52                0.52                
291410                          0                   0.67                0                   0                   
291420                          0                   0.46                0                   0                   
291430                          0                   0.55                0                   0                   
291440                          1                   1.58                0.63                0.63                
291450                          2                   1.81                1.10                1.10                
291460                          6                   4.53                1.33                1.33                
291465                          2                   1.88                1.06                1.06                
291470                          6                   4.05                1.48                1.48                
291480                          8                   13.67               0.59                0.58                
291490                          1                   1.73                0.58                0.58                
291500                          3                   1.01                2.98                2.98                
291510                          2                   0.81                2.48                2.48                
291520                          3                   0.97                3.11                3.11                
291530                          0                   0.43                0                   0                   
291535                          0                   0.93                0                   0                   
291540                          0                   0.42                0                   0                   
291550                          3                   1.32                2.28                2.28                
291560                          1                   4.12                0.24                0.24                
291570                          0                   0.52                0                   0                   
291580                          0                   1.51                0                   0                   
291590                          0                   0.41                0                   0                   
291600                          1                   1.33                0.75                0.75                
291610                          1                   1.43                0.70                0.70                
291620                          0                   0.58                0                   0                   
291630                          0                   0.63                0                   0                   
291640                          3                   4.80                0.62                0.62                
291650                          1                   2.22                0.45                0.45                
291660                          0                   0.68                0                   0                   
291670                          0                   0.55                0                   0                   
291680                          2                   1.32                1.51                1.51                
291685                          1                   0.91                1.10                1.10                
291690                          2                   0.82                2.43                2.43                
291700                          0                   2.30                0                   0                   
291710                          0                   1.33                0                   0                   
291720                          5                   1.24                4.02                4.02                
291730                          1                   1.77                0.56                0.56                
291733                          1                   0.71                1.41                1.41                
291735                          0                   0.59                0                   0                   
291740                          2                   1.05                1.90                1.90                
291750                          9                   5.07                1.78                1.78                
291760                          3                   3.40                0.88                0.88                
291770                          2                   2.24                0.89                0.89                
291780                          2                   1.20                1.66                1.66                
291790                          2                   0.66                3.03                3.03                
291800                          11                  9.93                1.11                1.11                
291810                          2                   2.59                0.77                0.77                
291820                          2                   0.94                2.12                2.12                
291830                          0                   0.73                0                   0                   
291835                          2                   1.54                1.30                1.30                
291840                          9                   13.17               0.68                0.68                
291845                          1                   0.62                1.62                1.62                
291850                          3                   0.98                3.05                3.05                
291855                          1                   0.38                2.66                2.66                
291860                          1                   0.42                2.39                2.39                
291870                          0                   0.26                0                   0                   
291875                          1                   1.06                0.94                0.94                
291880                          2                   1.54                1.30                1.30                
291890                          0                   0.26                0                   0                   
291900                          0                   0.25                0                   0                   
291905                          0                   0.56                0                   0                   
291910                          0                   0.52                0                   0                   
291915                          3                   1.72                1.75                1.75                
291920                          2                   12.72               0.16                0.16                
291930                          0                   0.71                0                   0                   
291940                          1                   0.84                1.19                1.19                
291950                          2                   3.06                0.65                0.65                
291955                          4                   5.37                0.75                0.75                
291960                          0                   0.70                0                   0                   
291970                          0                   1.21                0                   0                   
291980                          1                   3.30                0.30                0.30                
291990                          0                   0.49                0                   0                   
291992                          0                   1.34                0                   0                   
291995                          1                   0.22                4.59                4.59                
292000                          0                   0.67                0                   0                   
292010                          3                   1.23                2.44                2.44                
292020                          0                   1.07                0                   0                   
292030                          0                   0.58                0                   0                   
292040                          0                   0.87                0                   0                   
292045                          1                   0.89                1.13                1.13                
292050                          1                   1.36                0.73                0.73                
292060                          0                   2.92                0                   0                   
292070                          0                   1.31                0                   0                   
292080                          0                   0.66                0                   0                   
292090                          1                   0.88                1.14                1.14                
292100                          1                   2.88                0.35                0.35                
292105                          1                   0.78                1.28                1.28                
292110                          0                   1.54                0                   0                   
292120                          2                   1.66                1.20                1.20                
292130                          0                   0.69                0                   0                   
292140                          3                   1.18                2.54                2.54                
292145                          1                   0.59                1.69                1.69                
292150                          0                   3.21                0                   0                   
292160                          0                   0.57                0                   0                   
292170                          1                   2.22                0.45                0.45                
292180                          4                   0.81                4.93                4.93                
