LOC_ID                          OBSERVED            EXPECTED            ODE                 REL_RISK            
170388                          0                   0.16                0                   0                   
170389                          1                   0.24                4.16                4.16                
170390                          1                   0.35                2.86                2.86                
170410                          0                   0.19                0                   0                   
170460                          0                   0.098               0                   0                   
170510                          0                   0.22                0                   0                   
170550                          5                   2.23                2.25                2.25                
170555                          2                   0.32                6.28                6.28                
170560                          1                   0.25                3.97                3.97                
170600                          1                   0.35                2.83                2.83                
170610                          1                   0.50                2.01                2.01                
170625                          0                   0.12                0                   0                   
170650                          1                   0.38                2.60                2.60                
170700                          2                   1.37                1.46                1.46                
170710                          1                   0.46                2.18                2.18                
170720                          0                   0.52                0                   0                   
170730                          0                   0.32                0                   0                   
170740                          2                   0.66                3.05                3.05                
170755                          0                   0.25                0                   0                   
170765                          0                   0.36                0                   0                   
170770                          1                   0.57                1.74                1.74                
170820                          4                   1.24                3.23                3.23                
170825                          0                   0.16                0                   0                   
170830                          1                   0.35                2.89                2.89                
170900                          1                   0.79                1.27                1.27                
170930                          3                   1.69                1.78                1.78                
170950                          9                   5.65                1.59                1.59                
170980                          0                   0.13                0                   0                   
171050                          0                   0.46                0                   0                   
171070                          0                   0.36                0                   0                   
171090                          0                   0.26                0                   0                   
171110                          1                   0.16                6.27                6.27                
171150                          0                   0.26                0                   0                   
171180                          0                   0.15                0                   0                   
171190                          4                   0.85                4.73                4.73                
171195                          0                   0.25                0                   0                   
171200                          3                   0.19                15.50               15.51               
171215                          0                   0.12                0                   0                   
171240                          0                   0.24                0                   0                   
171245                          0                   0.19                0                   0                   
171250                          0                   0.34                0                   0                   
171270                          0                   0.16                0                   0                   
171280                          0                   0.22                0                   0                   
171320                          1                   1.11                0.90                0.90                
171330                          2                   0.89                2.26                2.26                
171360                          0                   0.52                0                   0                   
171370                          0                   0.16                0                   0                   
171380                          3                   0.42                7.16                7.16                
171395                          0                   0.22                0                   0                   
171420                          3                   0.60                5.03                5.03                
171430                          0                   0.25                0                   0                   
171488                          0                   0.75                0                   0                   
