cod_mun;ESPACIAL_CLUSTER;ESPACIAL_P_VALUE;ESPACIAL_CLU_OBS;ESPACIAL_CLU_EXP;ESPACIAL_CLU_ODE;ESPACIAL_CLU_RR;ESPACIAL_CLU_POP;ESPACIAL_LOC_OBS;ESPACIAL_LOC_EXP;ESPACIAL_LOC_ODE;ESPACIAL_LOC_RR;ESPACIAL_LOC_POP;ESPACIAL_CLU_RISCO;ESPACIAL_DATA_REF
431120;1;1E-17;2458;1331,11;1,85;2,03;1331,11;3;1,28;2,35;2,35;1,28;Alto risco;2019
432065;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,17;0;0;0,17;Alto risco;2019
431150;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,5;1,99;1,99;0,5;Alto risco;2019
431075;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,14;0;0;0,14;Alto risco;2019
430693;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,6;1,68;1,68;0,6;Alto risco;2019
431510;1;1E-17;2458;1331,11;1,85;2,03;1331,11;3;0,73;4,09;4,09;0,73;Alto risco;2019
430950;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,53;1,87;1,87;0,53;Alto risco;2019
431960;1;1E-17;2458;1331,11;1,85;2,03;1331,11;3;1,66;1,81;1,81;1,66;Alto risco;2019
430370;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;0,41;4,86;4,86;0,41;Alto risco;2019
432234;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,15;0;0;0,15;Alto risco;2019
431750;1;1E-17;2458;1331,11;1,85;2,03;1331,11;10;5,17;1,93;1,93;5,17;Alto risco;2019
430840;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,48;0;0;0,48;Alto risco;2019
430150;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;0,48;4,15;4,15;0,48;Alto risco;2019
432057;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;0,14;14,11;14,11;0,14;Alto risco;2019
431310;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,47;0;0;0,47;Alto risco;2019
431500;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,36;2,79;2,79;0,36;Alto risco;2019
431843;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,18;5,54;5,54;0,18;Alto risco;2019
430430;1;1E-17;2458;1331,11;1,85;2,03;1331,11;1;0,45;2,21;2,21;0,45;Alto risco;2019
430800;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,47;0;0;0,47;Alto risco;2019
430587;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,18;0;0;0,18;Alto risco;2019
432032;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,2;0;0;0,2;Alto risco;2019
430222;1;1E-17;2458;1331,11;1,85;2,03;1331,11;0;0,18;0;0;0,18;Alto risco;2019
431550;1;1E-17;2458;1331,11;1,85;2,03;1331,11;2;1,12;1,79;1,79;1,12;Alto risco;2019
430280;1;1E-17;2458;1331,11;1,85;2,03;1331,11;12;2,31;5,19;5,19;2,31;Alto risco;2019
